Parameter,Value
--- META ---,
Engine Name,Demo 45KN
Run Tag,timestamped
Fuel,CH4
Oxidizer,LOX
Coolant,REFPROP::Methane
--- OPERATING POINT ---,
Chamber Pressure [bar],60
Mixture Ratio,3.0
Mass Flow Total [kg/s],15.6815
--- PERFORMANCE ---,
Thrust Vac [N],57148.9
Thrust Sea [N],42105.3
Isp Vac [s],371.6
Isp Sea [s],273.8
Expansion Ratio,60.0
Exit Diameter [mm],594.39
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],76.74
Chamber Length [mm],999.0
Contraction Ratio,6
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1715.9
Max Coolant Temp [K],263.3
Max Heat Flux [MW/m2],23.67
Pressure Drop [bar],2.38
Min Coolant Density [kg/m3],95.0
